epoch,lr,train_loss,val_loss,val_acc,val_auc
1,0.0002,4.287656960280045,2.4012751844194202,0.09289617486338798,0.6515267269232342
2,0.0004,4.161782053933627,2.2225707372029624,0.15664845173041894,0.6995149631359192
3,0.0006,3.8169577916463218,2.0458965765105352,0.33697632058287796,0.7374641602314089
4,0.0008,3.561727523803711,1.879556397596995,0.3679417122040073,0.7851944333936891
5,0.001,3.3168350924616274,1.8171932697296143,0.3825136612021858,0.8006155093117588
6,0.001,3.151225335356118,1.716980470551385,0.4134790528233151,0.8149743048248631
7,0.0009998227685994077,2.995244969492373,1.7236246400409274,0.39162112932604737,0.8173274935771356
8,0.0009992912066543432,2.9055392673050147,1.6051913532945845,0.47176684881602915,0.8347715244961166
9,0.0009984057108362516,2.801734319631604,1.5947997503810458,0.45719489981785066,0.8447359877454352
10,0.0009971669419352968,2.7153482264366704,1.5343029350042343,0.4663023679417122,0.8508722231104138
11,0.000995575824367257,2.6456982951233354,1.4904752638604906,0.49544626593806923,0.8552844315718636
12,0.000993633545483691,2.57468715266905,1.4841369622283511,0.51183970856102,0.859361721587888
13,0.0009913415546858903,2.565749861192012,1.5037627087699041,0.5045537340619308,0.8613124505039764
14,0.0009887015623432837,2.451758996300075,1.477083361811108,0.4936247723132969,0.8663207379508555
15,0.0009857155385170938,2.418256341547206,1.4532027343908946,0.5154826958105647,0.8712830038555776
16,0.0009823857114902048,2.3665241106696753,1.600579846236441,0.48451730418943534,0.8551947903227606
17,0.0009787145661043328,2.355755887169769,1.5118749754296408,0.5100182149362478,0.8718519562315726
18,0.0009747048419057458,2.2374652451363164,1.3883224825064342,0.5391621129326047,0.8804580738471379
19,0.0009703595311009097,2.2190887375154356,1.4193185418844223,0.5355191256830601,0.8780870906934463
20,0.0009656818763235926,2.184087518332661,1.3905901908874512,0.5537340619307832,0.8865797123002963
21,0.0009606753682150903,2.1138666298078452,1.3449124528302088,0.5719489981785064,0.8872779250523309
22,0.0009553437428193777,2.078268505524898,1.3345556971099641,0.5792349726775956,0.888431899048561
23,0.0009496909787951343,2.0260897321977476,1.3100309885210462,0.5919854280510018,0.8936312625250501
24,0.0009437212944467191,1.9824849401695142,1.359178418914477,0.5719489981785064,0.8905125204025862
25,0.0009374391445763135,1.9590538671051247,1.3304835425482855,0.5683060109289617,0.8962358483200167
26,0.0009308492171595821,1.9173590186713398,1.340536105963919,0.5774134790528234,0.8942543045274222
27,0.0009239564298473283,1.9019613300544629,1.4046738727225199,0.5664845173041895,0.8901691695078469
28,0.0009167659262957601,1.8455222931461057,1.356816331545512,0.5664845173041895,0.8988776067905756
29,0.0009092830723281,1.7729849919028904,1.316980214582549,0.5774134790528234,0.9011704596577199
30,0.0009015134519304076,1.7455330482427625,1.3084546708398395,0.5883424408014571,0.9012656407434534
31,0.0008934628630845995,1.7076144736746084,1.2982120215892792,0.599271402550091,0.9025519759370316
32,0.0008851373134417772,1.6752850853878518,1.2716304577059216,0.5938069216757741,0.9040302423027874
33,0.0008765430158390947,1.6394823305848716,1.287901555498441,0.5919854280510018,0.9049931030892954
34,0.0008676863836635041,1.6007740445758984,1.2579178230630026,0.6010928961748634,0.9061690505314897
35,0.0008585740260658475,1.563114731208138,1.277874908513493,0.5974499089253188,0.9063462509434455
36,0.0008492127430288608,1.5210559696391008,1.297502017683453,0.6010928961748634,0.9071228319347415
37,0.0008396095202927712,1.4851826653964277,1.260576893058088,0.6029143897996357,0.9097830094325943
38,0.0008297715241422765,1.4445355491361755,1.2859666678640578,0.6010928961748634,0.909236521280037
39,0.0008197060960587948,1.4081628253494485,1.2645893974436655,0.6065573770491803,0.9091186380181512
40,0.0008094207472419758,1.3983733429425005,1.3005091001590092,0.5883424408014571,0.9070881875067389
41,0.0007989231530045619,1.3396250726520151,1.264789538251029,0.6029143897996357,0.9105889255319543
42,0.0007882211470447831,1.3204264761745066,1.2668051719665527,0.6083788706739527,0.9089246321957458
43,0.0007773227156005567,1.299935733926469,1.2739895896779165,0.604735883424408,0.908147062213481
