epoch,lr,train_loss,val_loss,val_acc,val_auc
1,0.0002,4.278142460878344,2.4073367251290216,0.09107468123861566,0.5930345886578352
2,0.0004,3.9256315818731338,2.4031425184673734,0.09107468123861566,0.6605850625183577
3,0.0006,3.641516543816829,2.3932358026504517,0.1111111111111111,0.6825609363439309
4,0.0008,3.402989928273187,2.3741968472798667,0.2331511839708561,0.7114440606630701
5,0.001,3.2465418024339536,2.344116899702284,0.28233151183970856,0.7376128509337786
6,0.001,3.08622309781503,2.302540991041395,0.29326047358834245,0.7575162644398258
7,0.0009998227685994077,2.96887749519901,2.2482322255770364,0.29690346083788705,0.771303735485814
8,0.0009992912066543432,2.8655667097672173,2.182533197932773,0.31876138433515483,0.7836785630630463
9,0.0009984057108362516,2.761054541753686,2.1057372424337597,0.36247723132969034,0.797281033309662
10,0.0009971669419352968,2.698414421599844,2.0233266353607178,0.39344262295081966,0.8108812281334469
11,0.000995575824367257,2.5969735383987427,1.938259528742896,0.41894353369763204,0.8244423466599247
12,0.000993633545483691,2.5244675917901853,1.8531948659155104,0.43897996357012753,0.8357401258918579
13,0.0009913415546858903,2.471062584199767,1.7707261277569666,0.4517304189435337,0.8460762787169888
14,0.0009887015623432837,2.3844483546588733,1.693690452310774,0.47540983606557374,0.8549468138503351
15,0.0009857155385170938,2.3578861796337627,1.6225689666138754,0.49544626593806923,0.8629202375065529
16,0.0009823857114902048,2.3069544209950212,1.557624437742763,0.517304189435337,0.8694985072185187
17,0.0009787145661043328,2.269853697306868,1.4999460015032027,0.5318761384335154,0.8753210688538485
18,0.0009747048419057458,2.250833137311797,1.4474078781074948,0.5428051001821493,0.8809680660021342
19,0.0009703595311009097,2.201676419679669,1.4015740950902302,0.5537340619307832,0.8857251423068772
20,0.0009656818763235926,2.187739904376044,1.362182849811183,0.5573770491803278,0.8898849944787535
21,0.0009606753682150903,2.165724648081738,1.3270093922813733,0.5646630236794171,0.8934328099612956
22,0.0009553437428193777,2.143825738326363,1.2965653414527576,0.581056466302368,0.8967933938377683
23,0.0009496909787951343,2.1007910500402036,1.2705763429403305,0.5865209471766849,0.8994457709482042
24,0.0009437212944467191,2.0630288573278897,1.2469617923100789,0.599271402550091,0.9022004082376256
25,0.0009374391445763135,2.0622280516486238,1.2275782922903697,0.6065573770491803,0.9044263815199972
26,0.0009308492171595821,2.0241179181181868,1.2112372095386188,0.6120218579234973,0.906511754492287
27,0.0009239564298473283,1.9900543698366138,1.1968194651934836,0.6138433515482696,0.9085972613129784
28,0.0009167659262957601,2.0030532453371133,1.1849359952741199,0.6174863387978142,0.9101294685846647
29,0.0009092830723281,1.9523516547852668,1.1744317412376404,0.6156648451730419,0.911710679243459
30,0.0009015134519304076,1.9325101755667424,1.1654121751586597,0.6229508196721312,0.9131356144571147
31,0.0008934628630845995,1.902720493250999,1.1575380166371663,0.6229508196721312,0.9142935592892649
32,0.0008851373134417772,1.8717015281967495,1.1504150595929887,0.6229508196721312,0.9154900822052267
33,0.0008765430158390947,1.8533576467762822,1.1444894265797403,0.6247723132969034,0.9165217038901552
34,0.0008676863836635041,1.8356418842854707,1.140025269654062,0.6284153005464481,0.9173858514803261
35,0.0008585740260658475,1.8232223771620488,1.1365762973825138,0.6284153005464481,0.9180585884198824
36,0.0008492127430288608,1.8100062820358553,1.1333698605497677,0.6265938069216758,0.9184788426574856
37,0.0008396095202927712,1.7946119101151177,1.131111167371273,0.6265938069216758,0.9191799926383378
38,0.0008297715241422765,1.759888712046803,1.127610981464386,0.6229508196721312,0.9196266224471207
39,0.0008197060960587948,1.7320899522822837,1.1245529817210302,0.6247723132969034,0.920686590249144
40,0.0008094207472419758,1.7049806420353875,1.1218011677265167,0.6247723132969034,0.9211153364242399
41,0.0007989231530045619,1.7103313397670137,1.119338245027595,0.6247723132969034,0.9217014288316896
42,0.0007882211470447831,1.6724460876506309,1.117425446708997,0.6284153005464481,0.9221804499537107
43,0.0007773227156005567,1.6888644885325776,1.115130614903238,0.6302367941712204,0.9225770725123716
44,0.000766235991489858,1.6557985146840413,1.1133382924728923,0.6302367941712204,0.9229546068017296
45,0.0007549692480417063,1.6254780905834143,1.1108845381273165,0.6302367941712204,0.9237224802108858
46,0.0007435308929222973,1.6083437826322473,1.1093000811007288,0.6302367941712204,0.9240481333724962
47,0.0007319294618608869,1.5865740257760752,1.1072984089454014,0.6302367941712204,0.9245319358568712
48,0.0007201736122801105,1.5771995100422183,1.105656098988321,0.6357012750455373,0.9248683563788057
49,0.0007082721168354893,1.5547308619471565,1.1036721790830295,0.6375227686703097,0.9251930428575147
50,0.0006962338568689469,1.538180144800656,1.1016718414094713,0.6466302367941712,0.925626704243366
51,0.0006840678157812183,1.5399225272130275,1.0996723795930545,0.644808743169399,0.9261599488401664
52,0.0006717830723281001,1.524136308742606,1.0974700906210475,0.644808743169399,0.9267021166637541
53,0.0006593887938455417,1.488049920918285,1.0956496538387404,0.644808743169399,0.9270593283041036
54,0.0006468942294086376,1.4934789685235508,1.094631403684616,0.644808743169399,0.9271932733742067
55,0.0006343087029296186,1.475652198428693,1.0937159665756755,0.6429872495446266,0.9273879558746436
56,0.0006216416062000013,1.461472559666288,1.092258138789071,0.6466302367941712,0.9274992359487064
57,0.0006089023918820792,1.4393754981566167,1.0904782455828455,0.644808743169399,0.9279560308000044
58,0.0005961005664549936,1.4272263123505358,1.0887531952725515,0.6466302367941712,0.9281102985191162
59,0.0005832456831206418,1.4204021286273347,1.0858768241273031,0.6484517304189436,0.9286642003859296
60,0.0005703473346747199,1.4060974643714186,1.0851259380578995,0.6484517304189436,0.9288531348411109
61,0.0005574151463482188,1.4076443595298822,1.0841144886281755,0.6520947176684881,0.9290215458746808
62,0.0005444587686247168,1.383060991332151,1.0830003478460841,0.6539162112932605,0.9291085250277921
63,0.0005314878700388267,1.3820160821728085,1.0824034040172894,0.6502732240437158,0.92920656898212
64,0.0005185121299611734,1.3762180248032445,1.0816173901160557,0.6484517304189436,0.9292562416112374
65,0.0005055412313752832,1.363638709852661,1.0805383688873715,0.6539162112932605,0.9294820141210064
66,0.0004925848536517813,1.3427820559861003,1.0786487633983295,0.6557377049180327,0.9297187175835903
67,0.0004796526653252802,1.3291275661060775,1.0781978890299797,0.6557377049180327,0.9297983425106242
68,0.00046675431687935825,1.3121607955815136,1.0776117675834231,0.6575591985428051,0.9299031383732216
69,0.0004538994335450066,1.3094425784504933,1.0774168910251722,0.6575591985428051,0.9301222258989221
70,0.000441097608117921,1.2874464556790781,1.0755868645177946,0.6575591985428051,0.9303708641773344
71,0.000428358393799999,1.2969023697618125,1.0740913814968533,0.6612021857923497,0.9305977743985188
72,0.0004156912970703815,1.2735352904900261,1.0735880649752088,0.6648451730418944,0.9307875788683119
73,0.0004031057705913626,1.2710377297539641,1.0723238786061604,0.663023679417122,0.9309918910176568
74,0.00039061120615445816,1.2658465007940929,1.0715525183412764,0.6612021857923497,0.9311499064920191
75,0.0003782169276719,1.2581913333008254,1.0705253117614322,0.6648451730418944,0.9312486866125571
76,0.0003659321842187815,1.244463927935863,1.0690902454985514,0.6648451730418944,0.9313590669279187
77,0.00035376614313105306,1.2520211909128272,1.0682532745930884,0.6648451730418944,0.931398812467235
78,0.00034172788316451066,1.238051618354908,1.0673646065923903,0.6666666666666666,0.931512769509334
79,0.0003298263877198896,1.230333106673282,1.066369613011678,0.6666666666666666,0.9317173493554829
80,0.00031807053813911313,1.216285283582798,1.0660836804244254,0.668488160291439,0.9318491900312686
81,0.0003064691070777027,1.2367398518583048,1.0659984681341383,0.6703096539162113,0.9319072876736776
82,0.0002950307519582939,1.209855816502502,1.065011935101615,0.6739526411657559,0.932020240852763
83,0.0002837640085101421,1.1948929515437803,1.06414292835527,0.6775956284153005,0.9321912247500567
84,0.0002726772843994435,1.1967678920946259,1.06333157999648,0.6757741347905283,0.9324211763043713
85,0.00026177885295521704,1.1944718715073406,1.0624462771746848,0.6757741347905283,0.9326333111491999
86,0.0002510768469954381,1.1726122386213662,1.0619539784060583,0.6757741347905283,0.9327611066288419
87,0.00024057925275802427,1.1772407124871793,1.0615018432339032,0.6757741347905283,0.9329447615081741
88,0.00023029390394120513,1.1955965813519298,1.061051084763474,0.6757741347905283,0.9330699171998915
89,0.0002202284758577235,1.168553530306056,1.0600899855295818,0.6757741347905283,0.9332639676384308
90,0.00021039047970722896,1.157269148722939,1.0601407860716183,0.6757741347905283,0.933424689824919
91,0.00020078725697113942,1.168639466382455,1.0596582061714597,0.6775956284153005,0.9335665245147066
92,0.00019142597393415262,1.1743860486624897,1.058621266649829,0.6757741347905283,0.933738378426612
93,0.00018231361633649608,1.1518381497134333,1.0584849094351132,0.6739526411657559,0.9337318942151464
94,0.00017345698416090533,1.135473611994066,1.058926348057058,0.6703096539162113,0.9338239224274151
95,0.00016486268655822278,1.1431627269240394,1.057804932196935,0.6721311475409836,0.9339409877268452
96,0.00015653713691540056,1.1554422002771627,1.057200479010741,0.6721311475409836,0.934068783206487
97,0.00014848654806959242,1.1300434072812398,1.0567174901564915,0.6721311475409836,0.9341567662226122
98,0.00014071692767190003,1.1199836376784504,1.0561107744773228,0.6721311475409836,0.9342621644030175
99,0.00013323407370423996,1.119792362054189,1.055912463201417,0.6721311475409836,0.9343243741657712
100,0.00012604357015267166,1.1231618510640187,1.0559422489669588,0.6739526411657559,0.9343678972044276
101,0.00011915078284041793,1.1290851382241733,1.0561088638173208,0.6739526411657559,0.9343861823833195
102,0.00011256085542368656,1.1262859771217124,1.0559384831123881,0.6739526411657559,0.934506690561085
103,0.000106278705553281,1.1122278899386309,1.0553527532352343,0.6739526411657559,0.9346562140979547
104,0.00010030902120486571,1.1195709852204807,1.0549433504541714,0.6739526411657559,0.9347223352084503
105,9.465625718062236e-05,1.122053738521493,1.0544324061936803,0.6739526411657559,0.9347769899725237
106,8.932463178490991e-05,1.0977240710154823,1.0536545076304011,0.6721311475409836,0.9349122735266452
107,8.431812367640732e-05,1.1131445376769356,1.0532964244484901,0.6721311475409836,0.9349526883079702
108,7.964046889909038e-05,1.101155793753223,1.0527167808678415,0.6721311475409836,0.9350078784656511
109,7.52951580942542e-05,1.1070772426715796,1.0528247331579526,0.6721311475409836,0.9350339863400271
110,7.128543389566719e-05,1.100383475638818,1.0526070172588031,0.6721311475409836,0.9350268328865522
111,6.76142885097954e-05,1.1012261915897978,1.0524054086870618,0.6739526411657559,0.9350818222716305
